Target,Volume,Transaction_Value,Volume_ROC,Net_Purchase_Foreigner,Net_Purchase_Financial_Investment,Net_Purchase_Investment_Trust,Net_Purchase_Pension_Fund
0,1072367495,12558700000000.0,0.204986004,-681078000000.0,-99438283026.0,-157842000000.0,97485725465.0
1,899168711,12463400000000.0,-0.161510662,-37759147510.0,-53021344877.0,122258000000.0,115357000000.0
1,975253172,12664800000000.0,0.084616446,14302129054.0,206089000000.0,79552561995.0,116589000000.0
0,873722720,9075650000000.0,-0.104106764,-68119155591.0,-95990371425.0,35822074212.0,-5161221983.0
0,883402977,9199340000000.0,0.011079324,115034000000.0,-176100000000.0,15882503585.0,-45937944071.0
0,1181019910,9903930000000.0,0.336898268,30611358580.0,64416224156.0,-29875135904.0,-58398123890.0
0,1333935834,10595400000000.0,0.129477854,-486320000000.0,-153398000000.0,-34421446420.0,11477544006.0
0,841463317,10842500000000.0,-0.057345263,-317712000000.0,95595950994.0,3521954987.0,663569341.0
0,679509759,8608260000000.0,-0.19246657,-289981000000.0,-129382000000.0,25660467127.0,666345710.0
0,900330795,12167900000000.0,0.324971103,-282072000000.0,-41551434071.0,32749485050.0,-102547000000.0
1,788539195,10342100000000.0,-0.124167251,68441056844.0,628553000000.0,41361508960.0,125622000000.0
0,780198956,8528540000000.0,-0.010576822,1773840081.0,-104803000000.0,-20564999388.0,14083306124.0
1,873519449,9658880000000.0,0.119611148,-52423752269.0,475989000000.0,-3381491417.0,64122542669.0
1,870268210,10047200000000.0,-0.003722,297282000000.0,-317932000000.0,21969619339.0,-277833000000.0
0,677595162,9883990000000.0,-0.22139502,-90912806727.0,-354620000000.0,-31408995769.0,32551119920.0
1,755652901,9634340000000.0,0.115198194,196631000000.0,741777000000.0,17237605561.0,92764970980.0
1,644204838,7815200000000.0,-0.147485787,-30385454407.0,344672000000.0,-39269196545.0,-58483783111.0
0,851235794,8703530000000.0,0.32137442,-325412000000.0,-168173000000.0,-13824499693.0,-36501837642.0
1,712611488,8353420000000.0,-0.162850654,-165483000000.0,550996000000.0,-6668480093.0,36048417829.0
0,595849280,8613520000000.0,-0.163851145,37674326836.0,-33188699677.0,-31192976555.0,-79709902515.0
1,590813776,8028160000000.0,-0.008450969,275986000000.0,498059000000.0,15844165435.0,27692204110.0
1,469797632,7473950000000.0,-0.204829591,354087000000.0,315361000000.0,55589726873.0,20914943865.0
1,671679086,13970900000000.0,0.429720033,1057340000000.0,-572453000000.0,8223461867.0,-5244614539.0
0,525259148,7860490000000.0,-0.217990914,-90906228346.0,-669116000000.0,-24754697807.0,3008796346.0
1,562469813,7566760000000.0,0.070842488,-8818167402.0,213501000000.0,5650424951.0,64349511742.0
0,524710380,8948920000000.0,-0.067131484,-208899000000.0,-686304000000.0,-22724924942.0,-38812499655.0
0,576389702,7964340000000.0,0.098491137,-124454000000.0,10901849654.0,1844518710.0,27990548527.0
0,814882844,10858000000000.0,0.413770651,-937286000000.0,632436000000.0,43615125400.0,-106421000000.0
0,724089803,8285960000000.0,-0.111418521,-851671000000.0,-292623000000.0,-20851861952.0,97591011429.0
0,660309279,10335900000000.0,-0.088083721,-500936000000.0,-19960737892.0,-28707886347.0,-21452791231.0
0,671756827,9992820000000.0,0.017336646,-281092000000.0,196842000000.0,1888361783.0,37630740420.0
